dimension,feature,mean_importance,std_across_folds,n_folds
d2_lack_of_knowledge,cause,0.02821268219145908,0.01302007847179874,5
d2_lack_of_knowledge,verb,0.0220425377519382,0.013580280255884938,5
d2_lack_of_knowledge,QMark,0.017528460876495344,0.018081353288131093,5
d2_lack_of_knowledge,i,0.017010714831854346,0.0158340377117063,5
d2_lack_of_knowledge,WC,0.016486653986250495,0.027861197809215223,5
d2_lack_of_knowledge,auxverb,0.01337548481935559,0.02149970007191373,5
d2_lack_of_knowledge,comm,0.013291164376889427,0.009943290601544903,5
d2_lack_of_knowledge,discrep,0.009896524011420011,0.011512222920751294,5
d2_lack_of_knowledge,adj,0.009278063071439418,0.0028986929790854963,5
d2_lack_of_knowledge,certitude,0.008834863429890878,0.0029231787808617965,5
d2_lack_of_knowledge,you,0.008089789014108228,0.0049518988574951545,5
d2_lack_of_knowledge,achieve,0.007945160582143063,0.007603088638050897,5
d2_lack_of_knowledge,cogproc,0.0071910932197814924,0.009560833463243368,5
d2_lack_of_knowledge,health,0.006786748454707954,0.0033301490661793386,5
d2_lack_of_knowledge,time,0.006433518985270577,0.005248947671168603,5
d2_lack_of_knowledge,insight,0.0057148192566931835,0.0071065802593016465,5
d2_lack_of_knowledge,article,0.004876029680086702,0.0027209510436188135,5
d2_lack_of_knowledge,prosocial,0.004844731941032172,0.0025719017111842566,5
d2_lack_of_knowledge,conj,0.00462748301845989,0.0031726012203607224,5
d2_lack_of_knowledge,Comma,0.004409665210832697,0.017932349483443525,5
d2_lack_of_knowledge,function,0.004307853323439486,0.0032092476011699794,5
d2_lack_of_knowledge,focuspresent,0.003761212691550532,0.0034799086264641257,5
d2_lack_of_knowledge,we,0.0031956230020642766,0.008122523442856688,5
d2_lack_of_knowledge,negate,0.0027403619849138534,0.0029829771792625717,5
d2_lack_of_knowledge,socbehav,0.00265470323956526,0.014514758878982063,5
d2_lack_of_knowledge,emotion,0.0023253841362920425,0.0017670472366827273,5
d2_lack_of_knowledge,feeling,0.002289298022701845,0.0031899690222001206,5
d2_lack_of_knowledge,adverb,0.002288522886276138,0.0028096150782108797,5
d2_lack_of_knowledge,prep,0.002051901696984863,0.004690381824487873,5
d2_lack_of_knowledge,ppron,0.001980221220431758,0.0068415774682584266,5
d2_lack_of_knowledge,want,0.0019145698618240766,0.001923684355630436,5
d2_lack_of_knowledge,Perception,0.001660107351670461,0.003184305006753827,5
d2_lack_of_knowledge,focuspast,0.001502723912284755,0.002382208541004363,5
d2_lack_of_knowledge,Drives,0.0014942976033833957,0.0016287934884760744,5
d2_lack_of_knowledge,Tone,0.0014927135016316322,0.0017305612846045954,5
d2_lack_of_knowledge,Period,0.0010522757260770337,0.0006861902908718654,5
d2_lack_of_knowledge,affiliation,0.0008401910770404789,0.0015387646701914978,5
d2_lack_of_knowledge,attention,0.0007940706590212346,0.0020493211915794006,5
d2_lack_of_knowledge,differ,0.0007387953477411356,0.004298560802900719,5
d2_lack_of_knowledge,WPS,0.0007203643269618317,0.0004794863546263893,5
d2_lack_of_knowledge,pronoun,0.0007071365741808119,0.0006997362423194726,5
d2_lack_of_knowledge,ipron,0.00065179430477706,0.002847155128586445,5
d2_lack_of_knowledge,Social,0.0006140106166396302,0.0022315706744184607,5
