dimension,feature,mean_importance,std_across_folds,n_folds
d1_illness_beliefs,emo_sad,0.01208937543179606,0.005370151400937829,5
d1_illness_beliefs,differ,0.011803316338950078,0.0070895148583743715,5
d1_illness_beliefs,memory,0.009773876512493654,0.01954775302498731,5
d1_illness_beliefs,Period,0.009421800697336667,0.010493226433329358,5
d1_illness_beliefs,adj,0.008855184963969583,0.011973956349783271,5
d1_illness_beliefs,conj,0.00849911354828128,0.0069526015569231145,5
d1_illness_beliefs,cause,0.007656375910048303,0.005037085064513726,5
d1_illness_beliefs,i,0.007221885692717879,0.005921582725924265,5
d1_illness_beliefs,time,0.006925112742934727,0.00786824262637926,5
d1_illness_beliefs,space,0.006362790004468451,0.007474500274391436,5
d1_illness_beliefs,negate,0.00515618316302599,0.007391230740000487,5
d1_illness_beliefs,quantity,0.004513174342736152,0.0054841828373356615,5
d1_illness_beliefs,food,0.004498910210178351,0.008997820420356703,5
d1_illness_beliefs,wellness,0.004320058096072988,0.008643281045564232,5
d1_illness_beliefs,insight,0.004183907224249841,0.0023212995150520025,5
d1_illness_beliefs,auditory,0.004169988866377701,0.0015719212675089776,5
d1_illness_beliefs,adverb,0.0041362936126704076,0.003036349803064181,5
d1_illness_beliefs,risk,0.0034828613110923744,0.0034742284410932997,5
d1_illness_beliefs,Conversation,0.003467387494720313,0.0015905062117326715,5
d1_illness_beliefs,attention,0.0034278319780069203,0.0032716087422765693,5
d1_illness_beliefs,allure,0.0034088378297301948,0.007072951705924759,5
d1_illness_beliefs,assent,0.003179183953354054,0.0016368053415498315,5
d1_illness_beliefs,Exclam,0.0029882783081094286,0.005976556616218857,5
d1_illness_beliefs,emo_pos,0.002416666785780554,0.0017524246477203442,5
d1_illness_beliefs,we,0.0022513672012967334,0.0033327215486991238,5
d1_illness_beliefs,polite,0.002173446152104321,0.005559520336402208,5
d1_illness_beliefs,want,0.0020566429348962923,0.005583277933600464,5
d1_illness_beliefs,family,0.0020060553175787073,0.0033065353730862396,5
d1_illness_beliefs,affiliation,0.001963322847575072,0.002792989453046742,5
d1_illness_beliefs,auxverb,0.001961297702356489,0.002824803584197512,5
d1_illness_beliefs,emotion,0.001937735657338021,0.003846375010156164,5
d1_illness_beliefs,you,0.0019231793709320534,0.005814446623418792,5
d1_illness_beliefs,male,0.0018540174544705134,0.0042923063934479835,5
d1_illness_beliefs,fulfill,0.0018524807026136074,0.004077321050441598,5
d1_illness_beliefs,WPS,0.0018457244036399814,0.00722274682402561,5
d1_illness_beliefs,illness,0.0018371388434950714,0.004630061762269407,5
d1_illness_beliefs,tech,0.0016371002840610972,0.0032742005681221944,5
d1_illness_beliefs,leisure,0.0015129326112806448,0.0031226509957175347,5
d1_illness_beliefs,moral,0.00135109723970362,0.0017783376242454369,5
d1_illness_beliefs,emo_anger,0.001322829905419117,0.0030045111676846713,5
d1_illness_beliefs,they,0.001291950033434944,0.0045507979219073505,5
d1_illness_beliefs,OtherP,0.0012195817570016527,0.0031669119250292295,5
d1_illness_beliefs,Linguistic,0.001183317571619371,0.002774567647855603,5
d1_illness_beliefs,tentat,0.0011581427347266947,0.0019894355771591945,5
d1_illness_beliefs,BigWords,0.0010423329436140272,0.002103958178215201,5
d1_illness_beliefs,work,0.0010132253956495027,0.0025582157859963582,5
d1_illness_beliefs,fatigue,0.000994001185560686,0.0031335722096502527,5
d1_illness_beliefs,certitude,0.0009644025833133611,0.005076269886149493,5
d1_illness_beliefs,conflict,0.000937279504945462,0.0009391704284602273,5
d1_illness_beliefs,health,0.0008624392649542623,0.0026154455323406313,5
d1_illness_beliefs,allnone,0.0008568480106416095,0.002765424480607103,5
d1_illness_beliefs,emo_neg,0.0008384484865726002,0.0036162844106978754,5
d1_illness_beliefs,verb,0.0008276757687000702,0.0013156839364791828,5
d1_illness_beliefs,Culture,0.0008082156705321939,0.0021813582182120595,5
d1_illness_beliefs,socrefs,0.0007826213488133881,0.0018694924449634861,5
d1_illness_beliefs,article,0.0007760097526532129,0.002169262657007734,5
d1_illness_beliefs,politic,0.000733821326867157,0.0025991618439241233,5
d1_illness_beliefs,Clout,0.0006950996365466888,0.0025103470023509246,5
d1_illness_beliefs,relig,0.0006427608158316052,0.0011567484851232645,5
d1_illness_beliefs,ipron,0.0005947870719645854,0.0019533635715829885,5
d1_illness_beliefs,prep,0.0005546964440916399,0.0018700448839338935,5
d1_illness_beliefs,power,0.0005503451801823538,0.001532683933530635,5
d1_illness_beliefs,tone_neg,0.0005248729385268454,0.001323452023105532,5
d1_illness_beliefs,Lifestyle,0.0005183079219256093,0.001505950067203409,5
d1_illness_beliefs,Physical,0.0004169789533750334,0.0027896556993605433,5
d1_illness_beliefs,discrep,0.0003918216605516804,0.002648790710983045,5
d1_illness_beliefs,need,0.00035650184593594744,0.002318375597654736,5
d1_illness_beliefs,QMark,0.00030500559099209495,0.0017514403986966657,5
d1_illness_beliefs,acquire,0.00028639869874476386,0.0013918759919743233,5
d1_illness_beliefs,cogproc,0.0002271983631585303,0.0016790373224755545,5
d1_illness_beliefs,pronoun,0.0001994330678728166,0.0008293724185042709,5
d1_illness_beliefs,Affect,0.0001828967220662917,0.0013299586504988451,5
d1_illness_beliefs,Cognition,8.660572021037315e-05,0.001036759913544477,5
d1_illness_beliefs,emo_anx,7.458397614989972e-05,0.00043013128559522097,5
d1_illness_beliefs,socbehav,5.5929735200507976e-05,0.0014558724634865221,5
d1_illness_beliefs,prosocial,2.5453718137166116e-05,0.0007594914636534673,5
d1_illness_beliefs,Emoji,0.0,0.0,5
d1_illness_beliefs,filler,0.0,0.0,5
d1_illness_beliefs,ethnicity,0.0,0.0,5
d1_illness_beliefs,friend,0.0,0.0,5
d1_illness_beliefs,sexual,0.0,0.0,5
d1_illness_beliefs,netspeak,0.0,0.0,5
d1_illness_beliefs,substances,0.0,0.0,5
d1_illness_beliefs,death,0.0,0.0,5
d1_illness_beliefs,swear,0.0,0.0,5
d1_illness_beliefs,reward,-9.873174096134381e-05,0.00019746348192268762,5
d1_illness_beliefs,Apostro,-0.0001042428348753451,0.0011418967098503856,5
d1_illness_beliefs,ppron,-0.00015487222126112863,0.0018381233270610524,5
d1_illness_beliefs,AllPunc,-0.0002470740831116904,0.0031937924980407146,5
d1_illness_beliefs,Social,-0.0003945607777393045,0.0007392723290260882,5
d1_illness_beliefs,mental,-0.00040781374080536896,0.002370305287234377,5
d1_illness_beliefs,achieve,-0.0004712725013203929,0.0005785256229481841,5
d1_illness_beliefs,nonflu,-0.0005140618547578931,0.000905431717289658,5
d1_illness_beliefs,tone_pos,-0.0005258059110499313,0.0020196562060539893,5
d1_illness_beliefs,Analytic,-0.0005537644486012809,0.002887625252896595,5
d1_illness_beliefs,home,-0.0005602935844164325,0.0009999493946446767,5
d1_illness_beliefs,number,-0.0006205818135242647,0.0012165915565103824,5
d1_illness_beliefs,lack,-0.0006668697597578373,0.0013573681671905076,5
d1_illness_beliefs,feeling,-0.0006689699913747044,0.003551557930866321,5
d1_illness_beliefs,WC,-0.0006777546816794731,0.0058606287865745855,5
d1_illness_beliefs,female,-0.0006804932527211591,0.002609750240425902,5
d1_illness_beliefs,curiosity,-0.0006975632403411543,0.001953146820398676,5
d1_illness_beliefs,Drives,-0.0007082794952576124,0.005479079031855957,5
d1_illness_beliefs,focuspast,-0.0007638484823323851,0.0014038094233218457,5
d1_illness_beliefs,motion,-0.0008134086228421954,0.002761701228364611,5
d1_illness_beliefs,function,-0.001039193017149167,0.001154789363028002,5
d1_illness_beliefs,Authentic,-0.001121644584323429,0.006536329500244945,5
d1_illness_beliefs,Comma,-0.0012128361756765828,0.0029415317968871932,5
d1_illness_beliefs,comm,-0.0012481830330721008,0.002630664038494582,5
